src,dst,cosine_sim
11106,11187,1.0
11106,11192,1.0
11106,11196,1.0
11106,11199,1.0
11114,461,1.0
11135,11152,1.0
11136,572,1.0
11136,29222,1.0
11136,31778,1.0
11136,42276,1.0
11146,27501,0.9248758
11149,29210,1.0000001
11152,11135,1.0
11170,20451,1.0
11183,11067,1.0
11183,11070,1.0
11183,11076,1.0
11183,11087,1.0
11183,11098,1.0
11183,11103,1.0
11183,11104,1.0
11183,11106,1.0
11183,11187,1.0
11183,11192,1.0
11183,11196,1.0
11183,11199,1.0
11186,11206,1.0
11186,11207,1.0
11187,11067,1.0
11187,11070,1.0
11187,11076,1.0
11187,11087,1.0
11187,11098,1.0
11187,11103,1.0
11187,11104,1.0
11187,11106,1.0
11187,11183,1.0
11187,11192,1.0
11187,11196,1.0
11187,11199,1.0
11191,11088,1.0
11191,11091,1.0
11192,11067,1.0
11192,11070,1.0
11192,11076,1.0
11192,11087,1.0
11192,11098,1.0
11192,11103,1.0
11192,11104,1.0
11192,11106,1.0
11192,11183,1.0
11192,11187,1.0
11192,11196,1.0
11192,11199,1.0
11196,11067,1.0
11196,11070,1.0
11196,11076,1.0
11196,11087,1.0
11196,11098,1.0
11196,11103,1.0
11196,11104,1.0
11196,11106,1.0
11196,11183,1.0
11196,11187,1.0
11196,11192,1.0
11196,11199,1.0
11199,11067,1.0
11199,11070,1.0
11199,11076,1.0
11199,11087,1.0
11199,11098,1.0
11199,11103,1.0
11199,11104,1.0
11199,11106,1.0
11199,11183,1.0
11199,11187,1.0
11199,11192,1.0
11199,11196,1.0
11202,11064,1.0
11202,11096,1.0
11206,11186,1.0
11206,11207,1.0
11207,11186,1.0
11207,11206,1.0
11208,11085,0.9269884
11225,11065,0.99999994
11225,11089,0.99999994
11231,38172,0.91664517
11304,11072,0.9291061
12060,12320,1.0
12072,12327,0.99999994
12096,12360,1.0
12104,12105,1.0
12105,12104,1.0
12137,23,0.9483243
12137,4102,0.98964494
12137,13701,0.9457859
12137,13703,0.9386105
12137,15227,0.9705715
12137,20297,0.9215582
12137,21117,0.9844629
12137,22049,0.947197
12137,22597,0.9882018
12137,23095,0.96964437
12137,23141,0.98097235
12137,32746,0.97951204
12137,46161,0.99005723
12320,12060,1.0
12327,12072,0.99999994
12360,12096,1.0
12429,4267,0.91987693
12485,46161,0.9071206
12641,46058,1.0
12964,12965,1.0
12965,12964,1.0
13598,30843,1.0
13668,20573,1.0
13668,20618,0.98213786
13692,9050,0.9409657
13692,10449,0.99999994
13692,10497,0.99999994
13692,16985,0.9409657
13692,19889,0.9409657
13692,20388,0.99999994
13692,26623,0.99999994
13692,33672,0.99999994
13692,44457,0.99999994
13698,17613,1.0
13698,26813,1.0
13701,23,0.90863615
13701,4102,0.9453837
13701,12137,0.9457859
13701,13703,0.919303
13701,15227,0.9283884
13701,21117,0.9455757
13701,22049,0.90908104
13701,22597,0.94400513
13701,23095,0.92739123
13701,23141,0.938144
13701,32746,0.9364275
13701,46161,0.9460678
13703,23,0.9071247
13703,4102,0.93831193
13703,12137,0.9386105
13703,13701,0.919303
13703,15227,0.9238797
13703,21117,0.9347858
13703,22049,0.901929
13703,22597,0.9537553
13703,23095,0.92105246
13703,23141,0.93119925
13703,32746,0.93119246
13703,46161,0.9391003
13705,20400,1.0
13705,20445,1.0
13705,20447,0.91097957
13705,26257,0.91537124
13705,26308,1.0
13716,29182,1.0
13955,14018,1.0
13955,20104,1.0
13955,25954,0.96974105
13955,26773,1.0
13955,27997,1.0
13961,25146,0.9195105
13961,27010,0.948348
14018,13955,1.0
14018,20104,1.0
14018,25954,0.96974105
14018,26773,1.0
14018,27997,1.0
14081,41708,0.9999999
14593,8135,0.9096011
14593,24572,0.90736485
14593,30999,0.91708076
14593,44966,0.9018288
15196,582,0.99999994
15196,10467,0.9917083
15196,16824,0.99999994
15196,19884,0.99999994
15196,25586,0.9917083
15200,9618,0.9059704
